English,Japanese,Chinese_Simplified,Chinese_Traditional,Spanish,カラーコード
Emissions|CO2,排出|CO2,排放|CO2,排放|CO2,Emisiones|CO2,
Emissions|CO2|Carbon Capture and Storage,排出|CO2|二酸化炭素の貯留,排放|CO2|碳捕捉和储存,排放|CO2|碳捕捉和儲存,Emisiones|CO2|Captura y Almacenamiento de Carbón,
Emissions|CO2|Fossil Fuels and Industry,排出|CO2|エネルギー需要,排放|CO2|化石能源和工业,排放|CO2|化石能源和工業,Emisiones|CO2|Combustibles Fósiles e Industria,
Emissions|CO2|Fossil Fuels and Industry|Energy Demand,排出|CO2|エネルギー需要|工業,排放|CO2|化石能源和工业|能源需求,排放|CO2|化石能源和工業|能源需求,Emisiones|CO2|Combustibles Fósiles e Industria|Demanda de Energía,
Emissions|CO2|Fossil Fuels and Industry|Energy Demand|Industry,排出|CO2|エネルギー需要|工業,排放|CO2|化石能源和工业|能源需求|工业,排放|CO2|化石能源和工業|能源需求|工業,Emisiones|CO2|Combustibles Fósiles e Industria|Demanda de Energía|Industria,
Emissions|CO2|Fossil Fuels and Industry|Energy Demand|Residential and Commercial,排出|CO2|エネルギー需要|住民と商業,排放|CO2|化石能源和工业|能源需求|居民和商业,排放|CO2|化石能源和工業|能源需求|居民和商業,Emisiones|CO2|Combustibles Fósiles e Industria|Demanda de Energía|Residencial y Comercial,
Emissions|CO2|Fossil Fuels and Industry|Energy Demand|Transportation,排出|CO2|エネルギー需要|運送業,排放|CO2|化石能源和工业|交通运输业,排放|CO2|化石能源和工業|交通運輸業,Emisiones|CO2|Combustibles Fósiles e Industria|Demanda de Energía|Transporte,
Emissions|CO2|Fossil Fuels and Industry|Energy Supply,排出|CO2|エネルギー供給,排放|CO2|化石能源和工业|能源供应,排放|CO2|化石能源和工業|能源供應,Emisiones|CO2|Combustibles Fósiles e Industria|Suministro de Energía,
Emissions|CO2|Land Use,排出|CO2|土地利用,排放|CO2|土地使用,排放|CO2|土地使用,Emisiones|CO2|Uso de la Tierra,
Final Energy,最終エネルギー,最终能源,最終能源,Energía Final,
Final Energy|Electricity,最終エネルギー|電力,最终能源|电力,最終能源|電力,Energía Final|Electricidad,
Final Energy|Gases,最終エネルギー|ガス,最终能源|燃气,最終能源|燃氣,Energía Final|Gases,
Final Energy|Geothermal,最終エネルギー|地熱,最终能源|地热,最終能源|地熱,Energía Final|Geotérmica,
Final Energy|Heat,最終エネルギー|熱量,最终能源|热能,最終能源|熱能,Energía Final|Calor,
Final Energy|Hydrogen,最終エネルギー|水力,最终能源|水能,最終能源|水能,Energía Final|Hidrógeno,
Final Energy|Industry,最終エネルギー|工業,最终能源|工业,最終能源|工業,Energía Final|Industria,
Final Energy|Liquids,最終エネルギー|液体燃料,最终能源|液体能源,最終能源|液體能源,Energía Final|Líquidos,
Final Energy|Residential and Commercial,最終エネルギー|住民と商業,最终能源|居民和商业,最終能源|居民和商業,Energía Final|Residencial y Comercial,
Final Energy|Solar,最終エネルギー|太陽光,最终能源|太阳能,最終能源|太陽能,Energía Final|Solar,
Final Energy|Solids,最終エネルギー|個体燃料,最终能源|固体能源,最終能源|固體能源,Energía Final|Sólidos,
Final Energy|Transportation,最終エネルギー|運送業,最终能源|交通运输业,最終能源|交通運輸業,Energía Final|Transporte,
Population,人口,人口,人口,Población,
Price|Carbon,価格|炭素,价格|碳素,價格|碳素,Precio|Carbón,
Primary Energy,一次エネルギー,一次能源,壹次能源,Energía Primaria,
Primary Energy|Biomass,一次エネルギー|バイオマス,一次能源|生物质能,壹次能源|生物質能,Energía Primaria|Biomasa,
Primary Energy|Coal,一次エネルギー|石炭,一次能源|煤炭,壹次能源|煤炭,Energía Primaria|Carbón,
Primary Energy|Fossil,一次エネルギー|化石燃料,一次能源|化石能源,壹次能源|化石能源,Energía Primaria|Fósil,
Primary Energy|Gas,一次エネルギー|ガス,一次能源|燃气,壹次能源|燃氣,Energía Primaria|Gas,
Primary Energy|Geothermal,一次エネルギー|地熱,一次能源|地热,壹次能源|地熱,Energía Primaria|Geotérmica,
Primary Energy|Hydro,一次エネルギー|水力,一次能源|水能,壹次能源|水能,Energía Primaria|Hidráulica,
Primary Energy|Non-Biomass Renewables,一次エネルギー|非化石燃料,一次能源|非化石能源,壹次能源|非化石能源,Energía Primaria|Renovables No-Biomasa,
Primary Energy|Nuclear,一次エネルギー|原子力,一次能源|核能,壹次能源|核能,Energía Primaria|Nuclear,
Primary Energy|Ocean,一次エネルギー|海洋エネルギー,一次能源|海洋能源,壹次能源|海洋能源,Energía Primaria|Oceánica,
Primary Energy|Oil,一次エネルギー|石油,一次能源|石油,壹次能源|石油,Energía Primaria|Petróleo,
Primary Energy|Solar,一次エネルギー|太陽光,一次能源|太阳能,壹次能源|太陽能,Energía Primaria|Solar,
Primary Energy|Wind,一次エネルギー|風力,一次能源|风能,壹次能源|風能,Energía Primaria|Eólica,
Secondary Energy|Electricity,二次エネルギー|電力,二次能源|电力,二次能源|電力,Energía Secundaria|Electricidad,
Secondary Energy|Electricity|Biomass,二次エネルギー|電力|バイオマス,二次能源|电力|生物质能,二次能源|電力|生物質能,Energía Secundaria|Electricidad|Biomasa,
Secondary Energy|Electricity|Coal,二次エネルギー|電力|石炭,二次能源|电力|煤炭,二次能源|電力|煤炭,Energía Secundaria|Electricidad|Carbón,
Secondary Energy|Electricity|Gas,二次エネルギー|電力|ガス,二次能源|电力|燃气,二次能源|電力|燃氣,Energía Secundaria|Electricidad|Gas,
Secondary Energy|Electricity|Geothermal,二次エネルギー|電力|地熱,二次能源|电力|地热,二次能源|電力|地熱,Energía Secundaria|Electricidad|Geotérmica,
Secondary Energy|Electricity|Hydro,二次エネルギー|電力|水力,二次能源|电力|水能,二次能源|電力|水能,Energía Secundaria|Electricidad|Hidráulica,
Secondary Energy|Electricity|Nuclear,二次エネルギー|電力|原子力,二次能源|电力|核能,二次能源|電力|核能,Energía Secundaria|Electricidad|Nuclear,
Secondary Energy|Electricity|Ocean,二次エネルギー|電力|海洋エネルギー,二次能源|电力|海洋能源,二次能源|電力|海洋能源,Energía Secundaria|Electricidad|Oceánica,
Secondary Energy|Electricity|Oil,二次エネルギー|電力|石油,二次能源|电力|石油,二次能源|電力|石油,Energía Secundaria|Electricidad|Petróleo,
Secondary Energy|Electricity|Solar,二次エネルギー|電力|太陽光,二次能源|电力|太阳能,二次能源|電力|太陽能,Energía Secundaria|Electricidad|Solar,
Secondary Energy|Electricity|Wind,二次エネルギー|電力|風力,二次能源|电力|风能,二次能源|電力|風能,Energía Secundaria|Electricidad|Eólica,
